case,x_m,Nu,Nu_reference,Cf,Cf_reference,q_wall_W_m2
coarse,0.020833333333333332,0.0,nan,0.04879313363048906,0.025311242464082,0.0
coarse,0.0625,-6.97060513313247e-14,nan,0.03098286246842116,0.014613452650161628,-2.866312830744072e-12
coarse,0.10416666666666666,-5.460307354287102e-11,nan,0.01971179396403122,0.011319531748933326,-1.347167030449714e-09
coarse,0.14583333333333331,-8.349173577939423e-08,nan,0.013708325965568462,0.009566750419145528,-1.4713629322494391e-06
coarse,0.1875,-0.00010896799743019469,nan,0.010774664792600258,0.008437080821360668,-0.0014935880181098685
coarse,0.22916666666666666,-0.13699555285150514,nan,0.009224170424842174,0.007631626748279151,-1.5363428545237887
coarse,0.2708333333333333,85.58399442242064,72.37663630022783,0.008244185465476365,0.007020075580765319,812.1262732269087
coarse,0.3125,62.83777925828701,56.2176663116456,0.007533541676234063,0.006535334702347171,516.7778966201524
coarse,0.35416666666666663,57.4409232857429,52.377493193820534,0.006981601614708388,0.0061388780114723,416.81837038407326
coarse,0.3958333333333333,55.59131128167631,51.15789453794212,0.0065372593116321326,0.005806797265073098,360.9339031425048
coarse,0.4375,55.007079145927044,50.95758778111953,0.006170246491636748,0.005523365929763636,323.1272992115029
coarse,0.47916666666666663,55.04935807899896,51.253576242844176,0.0058604816610200484,0.005277758891454608,295.2560353315353
coarse,0.5208333333333333,55.4398129072636,51.8214405015151,0.005594217824880142,0.005062248492816401,273.5622128096016
coarse,0.5625,56.03611133072166,52.54881692602782,0.005361908245292593,0.00487115088338721,256.022766435475
coarse,0.6041666666666666,56.760294186421845,53.373533953516414,0.0051567954949174885,0.004700179729049062,241.44654795989658
coarse,0.6458333333333333,57.566928369866986,54.258706784503445,0.0049739816183369525,0.004546033347434379,229.07923495828365
coarse,0.6875,58.42795593929022,55.18130963098339,0.00480983881707885,0.004406121757473716,218.4143225657831
coarse,0.7291666666666666,59.32534456499886,56.12640935309425,0.004661649090719617,0.004278380852196801,209.0964144439503
coarse,0.7708333333333333,60.24740309537969,57.08403723490618,0.004527393678466201,0.004161142628535437,200.86809853637945
coarse,0.8125,61.18685751900737,58.04739219718613,0.004405637781682517,0.004053042526286375,193.53873701396796
coarse,0.8541666666666666,62.13989279085054,59.01175996682054,0.0042954562828411355,0.0039529519536903165,186.96529694339813
coarse,0.8958333333333333,63.108585110367855,59.97383766508088,0.004197119591168731,0.0038599282891144194,181.04825719104605
coarse,0.9375,64.09927454487722,60.93129804922461,0.004115874263216006,0.0037731772496444422,175.71747795235677
coarse,0.9791666666666666,64.76526398945188,61.882500654066,0.003953603367128629,0.0036920241668244686,169.98814820720818
medium,0.010416666666666666,0.0,nan,0.09175977620969612,0.03579550237321857,0.0
medium,0.03125,0.0,nan,0.04517492777703151,0.020666542930955625,0.0
medium,0.05208333333333333,0.0,nan,0.02571926894524338,0.01600823531905435,0.0
medium,0.07291666666666666,0.0,nan,0.018571141878450298,0.013529428190594097,0.0
medium,0.09375,0.0,nan,0.015316087996736713,0.011931834124406187,0.0
medium,0.11458333333333333,-1.3339484210153952e-13,nan,0.013350078083346687,0.010792750050385658,-2.991925040299258e-12
medium,0.13541666666666666,0.0,nan,0.011976118587131435,0.009927886095202496,0.0
medium,0.15625,-1.4370262535484033e-11,nan,0.010945009331660632,0.009242358970706905,-2.363620781836414e-10
medium,0.17708333333333331,-5.706594964692379e-09,nan,0.010135961998164154,0.008681684541578106,-8.281947704052377e-08
medium,0.19791666666666666,-2.231418186453166e-06,nan,0.009480690077347358,0.008212051446217372,-2.897555236640659e-05
medium,0.21875,-0.0009463956065891941,nan,0.008937049965310874,0.007811219007821214,-0.011118796383699333
medium,0.23958333333333331,-0.5162726389571831,nan,0.008477337140115022,0.007463878203230297,-5.538034151457228
medium,0.26041666666666663,102.18848065833119,88.39841783872149,0.008082454973207965,0.007159100474643713,1008.4776779209391
medium,0.28125,71.6625628310409,65.14734966835285,0.007738756924564259,0.006888847643651875,654.8365741360893
medium,0.3020833333333333,63.063358700792556,58.15322410758883,0.007436211603275501,0.006647057918412283,536.5169606434325
medium,0.32291666666666663,59.00855159812292,54.811576107564434,0.007167274247176477,0.006429062014942057,469.6319306544803
medium,0.34375,56.76192485727202,52.97621061235009,0.0069261607622620605,0.006231197146886506,424.3727909329138
medium,0.3645833333333333,55.440156277140844,51.92408543936006,0.006708363562868661,0.006050544226174077,390.80558161989114
medium,0.38541666666666663,54.659415981601235,51.3345108871916,0.006510319027705517,0.005884744340243646,364.47489489136916
